YEAR,MO,DY,T2M,T2MDEW,TS,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,RAIN
2000,1,1,16.03,8.38,15.29,24.26,9.62,6.77,0,101.46,3.05,210.44,4.48,210.75,NO
2000,1,2,15.86,7.96,14.73,24.2,8.23,6.65,0,101.41,2.95,340.94,4.2,341.31,NO
2000,1,3,15.3,7.44,14.51,23.92,7.94,6.41,0,101.3,3.15,338.06,4.65,338.5,NO
2000,1,4,15.37,6.53,14.16,24.12,7.37,5.98,0,101.33,3.14,339.81,4.5,339.94,NO
2000,1,5,14.84,6.35,14.02,23.67,7.01,5.92,0,101.37,3.05,338.69,4.51,339.06,NO
2000,1,6,14.44,6.16,13.69,23.2,7.13,5.86,0,101.29,3.4,331.5,4.99,331.62,NO
2000,1,7,14.62,5.99,13.62,23.55,6.3,5.8,0,101.37,3.13,330.12,4.59,330.38,NO
2000,1,8,15.14,5.58,13.73,23.44,7.05,5.62,0,101.34,2.64,280,3.73,280,NO
2000,1,9,16.68,6.66,14.54,24.08,9.43,6.1,0,101.3,1.89,228.75,2.52,228.31,NO
2000,1,10,17.41,9.39,15.62,25.35,8.99,7.32,0,101.24,2.05,218.5,2.77,218.12,NO
2000,1,11,18.12,9.99,16.23,25.28,10.31,7.63,0,101.26,2.02,280.88,2.66,281.25,NO
2000,1,12,18.56,11.01,17.15,26.48,10.1,8.18,0,101.22,1.84,306.5,2.54,291.94,NO
2000,1,13,19.41,12.78,18.37,27.27,11.79,9.16,0,101.1,1.72,280.5,2.45,280.5,NO
2000,1,14,19.65,15.34,19.34,27.87,13.43,10.86,0,100.94,3.22,279,4.88,279.12,NO
2000,1,15,20.87,12.29,19.74,28.66,13.1,8.85,0.12,101.12,1.47,254.75,2.01,253.88,YES
2000,1,16,20.67,14.42,20.4,27.9,15.5,10.19,0.51,101.31,2.37,205.88,3.53,205.94,YES
2000,1,17,17.08,9.21,17.37,25.78,10.66,7.2,0,101.52,3.72,299.94,5.7,300.06,NO
2000,1,18,14.52,5.17,14.48,23.3,7.33,5.49,0,101.56,3.62,303.94,5.24,304.06,NO
2000,1,19,15.05,5.71,14.55,23.82,6.65,5.68,0,101.25,3,312.44,4.32,312.38,NO
2000,1,20,17.52,8.7,16.38,26.62,8.43,7.02,0,100.99,2.82,244.69,4.03,244.94,NO
2000,1,21,19.87,15.37,19.44,27.5,14.44,10.86,0.02,101.23,2.35,215.81,3.61,216.06,YES
2000,1,22,19.83,11.33,19.55,28.83,11.81,8.42,0.05,101.25,2.32,164.25,3.68,164.5,YES
2000,1,23,21.01,16.94,21,27.7,16.44,12.02,2.15,101.18,2.84,268.94,4.12,269.12,YES
2000,1,24,19.36,12.27,19.54,27.51,12.97,8.79,0,101.46,2.94,283.94,4.55,284.69,NO
2000,1,25,18.33,11.15,18.5,26.51,11.54,8.18,0,101.67,3.15,173.56,4.88,173.94,NO
2000,1,26,18.04,9.56,17.98,26.58,11.09,7.32,0,101.64,3.23,164.44,4.88,165.25,NO
2000,1,27,18.83,9.09,17.97,27.03,10.89,7.14,0,101.51,2.21,266.69,3.05,267.62,NO
2000,1,28,19.56,10.23,19.05,28.29,10.91,7.75,0.05,101.4,2.46,251.25,3.65,250.94,YES
2000,1,29,18.79,11.49,19.01,26.48,13.63,8.42,0.36,101.39,3.8,302.44,5.82,302.62,YES
2000,1,30,17.57,6.91,17.08,25.56,9.91,6.16,0,101.62,2.82,308.38,4,308.88,NO
2000,1,31,18.73,7.07,17.75,26.47,11.37,6.23,0,101.66,1.63,146.5,2.21,147.38,NO
2000,2,1,19.44,9.94,19.29,28,12.55,7.69,0,101.4,2.58,136.12,4.1,135.94,NO
2000,2,2,21.16,16,21.36,28.4,15.45,11.23,4.26,101.3,4.02,191.44,6.31,191.88,YES
2000,2,3,22.05,17.06,22.13,28.51,17.14,12.02,4.78,101.44,2.31,233.06,3.51,233.88,YES
2000,2,4,21.94,16.28,21.98,28.88,16.12,11.47,1.23,101.29,1.74,153.19,2.34,152.31,YES
2000,2,5,22.16,17.85,22.51,29.3,16.79,12.76,4.19,101.1,2.92,155.88,4.35,156.25,YES
2000,2,6,22.38,18.8,23.02,28.27,18.57,13.49,4.51,101.04,3.45,161,5.21,161.31,YES
2000,2,7,21.94,17.2,22.64,27.55,18.1,12.21,2.16,101.11,2.39,195.31,3.79,196.12,YES
2000,2,8,20.99,14.01,21.51,27.69,15.08,9.89,0,101.18,2.31,147.25,3.36,132.75,NO
2000,2,9,21.24,15.2,22.05,27.28,15.21,10.8,0.06,101.18,2.12,150.62,3.27,150.75,YES
2000,2,10,21.94,18.1,22.85,27.44,18.22,12.88,0.03,101.23,2.23,121.81,3.27,122.69,YES
2000,2,11,21.85,15.99,22.79,29.38,15.76,11.29,0.08,101.18,2.61,143.81,4.03,143.69,YES
2000,2,12,23,19.76,23.71,28.4,19.41,14.28,11.84,101.1,2.34,157.19,3.65,158.44,YES
2000,2,13,21.94,16.18,22.73,27.97,16.65,11.47,0.27,101.14,3.13,130.19,4.49,116.12,YES
2000,2,14,20.3,13.05,20.56,26.09,16.37,9.34,0,101.28,3.73,292.25,5.47,292.69,NO
2000,2,15,19.45,8.35,19.49,28.31,11.69,6.84,0,101.34,3.5,286.69,5.17,286.88,NO
2000,2,16,18.94,5.43,18.36,27.26,10.12,5.62,0,101.2,2.92,242.5,4.05,242.5,NO
2000,2,17,21.55,12.76,21.15,28.93,15.24,9.46,1.53,100.91,1.91,223.75,2.8,223.62,YES
2000,2,18,21.65,17.43,21.58,27.12,16.05,12.45,3.57,100.96,2.37,113.31,3.56,111.94,YES
2000,2,19,20.87,10.1,20.33,28.33,13.48,7.87,0,101.12,1.41,245.88,1.84,246.44,NO
2000,2,20,21.04,10.18,20.54,28.4,13.07,7.81,0,101.15,1.62,281.44,2.12,281.19,NO
2000,2,21,21.19,9.52,20.23,27.79,16.4,7.45,0.13,101.25,1.67,265.56,2.3,265.38,YES
2000,2,22,20.92,12.07,21.5,28.25,13.84,8.79,0.03,101.28,2.02,259.06,2.91,274.88,YES
2000,2,23,22.48,13.06,22.61,30.2,14.61,9.34,0,101.25,2.13,255.69,3.02,241.69,NO
2000,2,24,22.33,11.97,22.5,29,16.11,8.67,0.05,101.3,2.62,279.25,3.57,280.06,YES
2000,2,25,22.09,8.07,21.82,29.74,16.73,7.02,0.02,101.19,2.81,285.44,3.98,285.75,YES
2000,2,26,19.29,7.01,18.89,25.32,12.96,6.29,0,101.16,2.3,275.44,3.38,275.81,NO
2000,2,27,20.69,9.18,20.4,28.88,12.58,7.26,0,101.17,2.62,242.38,3.77,241.94,NO
2000,2,28,21.89,10.75,20.99,30.29,13.62,8.12,0,101.24,2.67,222.62,3.56,222.12,NO
2000,2,29,22.05,5.3,21.22,30.48,13.95,5.62,0,101.14,1.64,174.31,2.2,175.19,NO
2000,3,1,23.42,10.66,22.86,31.92,15.55,8.24,0,100.87,2.05,204.19,2.91,204.25,NO
2000,3,2,25.01,16.08,25.33,33.56,18.07,11.72,0,100.73,2.7,225.75,4.12,226.62,NO
2000,3,3,26.52,16.9,26.9,34.51,19.93,12.33,0,100.8,2.43,188.38,3.68,187,NO
2000,3,4,26.8,17.64,27.3,34.51,20.59,12.76,0,100.93,2.05,200.94,2.88,200.81,NO
2000,3,5,27.08,18.65,28.1,35.56,20.48,13.67,0,100.81,3.38,198.88,5.22,199.25,NO
2000,3,6,27.19,15.42,27.62,35.96,20.73,11.47,0,100.74,3.05,264.56,4.73,265.12,NO
2000,3,7,26.33,9.81,26.99,35.74,18.12,7.69,0,100.89,1.95,262.69,3.04,262.56,NO
2000,3,8,27.02,18.9,27.54,35.72,20.71,13.85,0.49,100.68,4.81,212.56,7.11,213.25,YES
2000,3,9,25.15,8.52,25.16,33.26,17.18,7.63,0.29,100.7,2.67,254.69,3.55,254.5,YES
2000,3,10,24.44,4.58,24.18,33.41,15.58,5.37,0,100.82,2.58,287.75,3.48,287.44,NO
2000,3,11,25.08,16.02,25.9,34.58,16.48,11.66,0,100.73,3.9,214.19,5.73,214.38,NO
2000,3,12,27.81,19.09,28.92,35.98,21.97,14.1,0.22,100.46,5.22,199.75,7.34,200.56,YES
2000,3,13,28.4,18.69,29.64,37.03,22.55,13.92,0.38,100.37,4.84,200.31,6.72,201.06,YES
2000,3,14,28.51,18.83,29.51,36.52,22.95,14.04,0.49,100.55,4.48,208.5,6.26,209.38,YES
2000,3,15,26.15,7.71,26.6,34.5,17.01,6.9,0.04,100.76,2.56,283.56,3.75,283.44,YES
2000,3,16,25.22,4.45,25.29,33.79,17.1,5.8,0,100.77,2.94,260.69,4.1,260.06,NO
2000,3,17,24.33,3.63,24.32,34.26,14.48,5.13,0,100.7,2.82,262.56,3.91,263.44,NO
2000,3,18,26.22,16.32,27.3,35.62,17.44,11.9,0,100.71,3.99,206,6.12,206.19,NO
2000,3,19,28.3,17.4,29.16,36.69,21.08,12.7,0,100.7,2.73,229.88,4.09,231.19,NO
2000,3,20,27.41,6.87,27.14,35.95,19.81,7.39,0,100.81,2.88,277.94,3.97,278.06,NO
2000,3,21,26.12,0.41,25.8,36.39,15.59,3.97,0,101,2.59,278.94,3.58,279.38,NO
2000,3,22,27.1,5.05,27.59,38.45,16.9,5.86,0,100.93,1.95,122.25,3.12,122.25,NO
2000,3,23,28.2,14.83,29.45,38.05,19.43,10.93,0,100.89,2.44,209.94,3.82,225.56,NO
2000,3,24,27.69,10.86,29.33,36.69,19.29,8.18,0,101.05,3.64,125.12,5.35,140.62,NO
2000,3,25,28.32,10.53,29.58,36.95,20.96,8,0,101.09,2.77,126.94,4.16,127,NO
2000,3,26,27.76,9.03,27.58,34.65,19.71,7.14,0,101.15,2.15,137.12,2.93,137.44,NO
2000,3,27,28.72,13.2,29.91,37.12,21.18,9.64,0.09,101.04,1.86,219.69,2.79,220.62,YES
2000,3,28,29.23,14.52,30.77,37.74,21.7,10.62,0,100.98,2.15,259.81,3.38,260.44,NO
2000,3,29,29.39,14.93,31.25,38.32,21.01,11.05,0,100.93,2.1,226.06,3.36,227.81,NO
2000,3,30,29.5,17.29,31.65,37.83,22.41,12.57,0,100.81,3.09,204.38,4.7,206.5,NO
